pdbid,url,http_code,filepath,filesize,error
1guq,https://pdb-redo.eu/dssp/db/1guq/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1guq.dssp,192954,
1gux,https://pdb-redo.eu/dssp/db/1gux/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1gux.dssp,48967,
1gwe,https://pdb-redo.eu/dssp/db/1gwe/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1gwe.dssp,71846,
1gwm,https://pdb-redo.eu/dssp/db/1gwm/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1gwm.dssp,24581,
1gxm,https://pdb-redo.eu/dssp/db/1gxm/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1gxm.dssp,93629,
1gxu,https://pdb-redo.eu/dssp/db/1gxu/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1gxu.dssp,15676,
1gxy,https://pdb-redo.eu/dssp/db/1gxy/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1gxy.dssp,64859,
1h16,https://pdb-redo.eu/dssp/db/1h16/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1h16.dssp,107603,
1h2s,https://pdb-redo.eu/dssp/db/1h2s/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1h2s.dssp,42802,
1h4x,https://pdb-redo.eu/dssp/db/1h4x/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1h4x.dssp,34171,
1h6d,https://pdb-redo.eu/dssp/db/1h6d/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1h6d.dssp,632450,
1h6f,https://pdb-redo.eu/dssp/db/1h6f/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1h6f.dssp,54447,
1h6g,https://pdb-redo.eu/dssp/db/1h6g/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1h6g.dssp,71709,
1h7c,https://pdb-redo.eu/dssp/db/1h7c/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1h7c.dssp,17731,
1h8p,https://pdb-redo.eu/dssp/db/1h8p/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1h8p.dssp,27869,
1h97,https://pdb-redo.eu/dssp/db/1h97/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1h97.dssp,44035,
1he1,https://pdb-redo.eu/dssp/db/1he1/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1he1.dssp,89245,
1hf2,https://pdb-redo.eu/dssp/db/1hf2/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1hf2.dssp,113220,
1hi9,https://pdb-redo.eu/dssp/db/1hi9/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1hi9.dssp,191858,
1hq0,https://pdb-redo.eu/dssp/db/1hq0/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1hq0.dssp,44035,
1htr,https://pdb-redo.eu/dssp/db/1htr/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1htr.dssp,54584,
1hx6,https://pdb-redo.eu/dssp/db/1hx6/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1hx6.dssp,156649,
1hxn,https://pdb-redo.eu/dssp/db/1hxn/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1hxn.dssp,32253,
1hxr,https://pdb-redo.eu/dssp/db/1hxr/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1hxr.dssp,34308,
1hyo,https://pdb-redo.eu/dssp/db/1hyo/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1hyo.dssp,118152,
1hyp,https://pdb-redo.eu/dssp/db/1hyp/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1hyp.dssp,13895,
1hz6,https://pdb-redo.eu/dssp/db/1hz6/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1hz6.dssp,30335,
1i1w,https://pdb-redo.eu/dssp/db/1i1w/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1i1w.dssp,45131,
